Speaker,Footedness,Info_str,Place,GDUR,PVEL,T2PVEL,MDISP
F1,footed,bck,tongue_tip,68,37.18,20,1.9
F1,footed,nrw,tongue_tip,56,71.32,20,2.7
F1,unfooted,nrw,tongue_tip,40,31.13,24,0.9
F1,footed,cntr,tongue_tip,100,77.08,64,5.4
F1,unfooted,cntr,tongue_tip,108,73.69,56,5.2
F1,unfooted,brd,tongue_tip,84,69.94,24,3.3
F1,footed,brd,tongue_tip,32,47.27,16,1.2
F1,footed,bck,tongue_tip,76,40.18,20,2.2
F1,footed,brd,tongue_tip,36,28.37,16,0.7
F1,footed,nrw,tongue_tip,96,32.69,72,2.3
F1,unfooted,brd,tongue_tip,60,32.21,28,1.4
F1,unfooted,bck,tongue_tip,84,58.19,48,3.3
F1,footed,cntr,tongue_tip,100,41.33,68,2.7
F1,footed,brd,tongue_tip,64,41.4,20,1.8
F1,footed,cntr,tongue_tip,96,42.3,76,2.6
F1,unfooted,nrw,tongue_tip,48,42.5,32,1.4
F1,footed,nrw,tongue_tip,92,49.05,56,3.3
F1,unfooted,brd,tongue_tip,88,55.24,56,3.3
F1,unfooted,cntr,tongue_tip,128,44.89,96,4
F1,unfooted,bck,tongue_tip,84,88.08,48,4.9
F1,footed,bck,tongue_tip,60,30.31,20,1.2
F1,footed,nrw,tongue_tip,108,49.33,84,3.2
F1,unfooted,bck,tongue_tip,100,45.85,60,2.7
F1,unfooted,nrw,tongue_tip,88,24.25,44,1.5
F1,unfooted,brd,tongue_tip,92,33.54,48,2.4
F1,unfooted,cntr,tongue_tip,112,43.77,84,3.9
F1,footed,cntr,tongue_tip,100,37.89,76,2.9
F1,footed,brd,tongue_tip,84,56.78,20,2.9
F1,footed,bck,tongue_tip,76,38.17,52,2.2
F1,unfooted,nrw,tongue_tip,60,28.06,28,1.3
F1,unfooted,cntr,tongue_tip,112,50.15,80,3.7
F1,unfooted,bck,tongue_tip,88,55.88,52,3
F1,footed,nrw,tongue_tip,92,50.95,60,2.7
F1,unfooted,brd,tongue_tip,44,49.55,28,1.7
F1,footed,brd,tongue_tip,84,30.36,56,1.9
F1,footed,cntr,tongue_tip,92,47.92,60,2.3
F1,footed,bck,tongue_tip,76,30.98,56,1.5
F1,footed,brd,tongue_tip,32,46.35,24,1.1
F1,unfooted,bck,tongue_tip,96,29.25,68,1.7
F1,unfooted,nrw,tongue_tip,112,46.99,88,3.6
F1,footed,cntr,tongue_tip,88,53.28,56,3.1
F1,footed,bck,tongue_tip,84,43.68,52,2.3
F1,unfooted,cntr,tongue_tip,108,52.84,88,4
F1,unfooted,brd,tongue_tip,64,48.46,32,2.2
F1,footed,nrw,tongue_tip,72,34.83,48,2
F1,footed,cntr,tongue_tip,104,25.3,60,2
F1,footed,nrw,tongue_tip,88,24.25,60,1
F1,footed,brd,tongue_tip,80,31.12,56,1.5
F1,unfooted,bck,tongue_tip,108,55.14,72,3.4
F1,unfooted,nrw,tongue_tip,96,44.31,52,2.7
F1,footed,bck,tongue_tip,76,42.31,20,2.4
F1,unfooted,cntr,tongue_tip,132,38.36,92,2.8
F1,footed,bck,lower_lip,86,74.96,42,3.2
F1,unfooted,nrw,lower_lip,72,42.59,28,0.8
F1,footed,nrw,lower_lip,81.4,78.53,33.4,2.9
