Subject_id,Trial_id,Footedness,Info_str,Place,GDUR,PVEL,T2PVEL,MDISP
F1,T0004,footed,background,tongue_tip,68,37.18,20,1.9
F1,T0007,footed,narrow,tongue_tip,56,71.32,20,2.7
F1,T0015,unfooted,narrow,tongue_tip,40,31.13,24,0.9
F1,T0019,footed,contrastive,tongue_tip,100,77.08,64,5.4
F1,T0020,unfooted,contrastive,tongue_tip,108,73.69,56,5.2
F1,T0022,unfooted,broad,tongue_tip,84,69.94,24,3.3
F1,T0023,footed,broad,tongue_tip,32,47.27,16,1.2
F1,T0026,footed,background,tongue_tip,76,40.18,20,2.2
F1,T0034,footed,broad,tongue_tip,36,28.37,16,0.7
F1,T0036,footed,narrow,tongue_tip,96,32.69,72,2.3
F1,T0040,unfooted,broad,tongue_tip,60,32.21,28,1.4
F1,T0042,unfooted,background,tongue_tip,84,58.19,48,3.3
F1,T0047,footed,contrastive,tongue_tip,100,41.33,68,2.7
F1,T0053,footed,broad,tongue_tip,64,41.4,20,1.8
F1,T0054,footed,contrastive,tongue_tip,96,42.3,76,2.6
F1,T0055,unfooted,narrow,tongue_tip,48,42.5,32,1.4
F1,T0063,footed,narrow,tongue_tip,92,49.05,56,3.3
F1,T0065,unfooted,broad,tongue_tip,88,55.24,56,3.3
F1,T0066,unfooted,contrastive,tongue_tip,128,44.89,96,4
F1,T0067,unfooted,background,tongue_tip,84,88.08,48,4.9
F1,T0068,footed,background,tongue_tip,60,30.31,20,1.2
F1,T0074,footed,narrow,tongue_tip,108,49.33,84,3.2
F1,T0075,unfooted,background,tongue_tip,100,45.85,60,2.7
F1,T0079,unfooted,narrow,tongue_tip,88,24.25,44,1.5
F1,T0080,unfooted,broad,tongue_tip,92,33.54,48,2.4
F1,T0085,unfooted,contrastive,tongue_tip,112,43.77,84,3.9
F1,T0086,footed,contrastive,tongue_tip,100,37.89,76,2.9
F1,T0088,footed,broad,tongue_tip,84,56.78,20,2.9
F1,T0094,footed,background,tongue_tip,76,38.17,52,2.2
F1,T0099,unfooted,narrow,tongue_tip,60,28.06,28,1.3
F1,T0101,unfooted,contrastive,tongue_tip,112,50.15,80,3.7
F1,T0105,unfooted,background,tongue_tip,88,55.88,52,3
F1,T0108,footed,narrow,tongue_tip,92,50.95,60,2.7
F1,T0111,unfooted,broad,tongue_tip,44,49.55,28,1.7
F1,T0113,footed,broad,tongue_tip,84,30.36,56,1.9
F1,T0116,footed,contrastive,tongue_tip,92,47.92,60,2.3
F1,T0120,footed,background,tongue_tip,76,30.98,56,1.5
F1,T0128,footed,broad,tongue_tip,32,46.35,24,1.1
F1,T0129,unfooted,background,tongue_tip,96,29.25,68,1.7
F1,T0130,unfooted,narrow,tongue_tip,112,46.99,88,3.6
F1,T0132,footed,contrastive,tongue_tip,88,53.28,56,3.1
F1,T0139,footed,background,tongue_tip,84,43.68,52,2.3
F1,T0140,unfooted,contrastive,tongue_tip,108,52.84,88,4
F1,T0142,unfooted,broad,tongue_tip,64,48.46,32,2.2
F1,T0144,footed,narrow,tongue_tip,72,34.83,48,2
F1,T0150,footed,contrastive,tongue_tip,104,25.3,60,2
F1,T0152,footed,narrow,tongue_tip,88,24.25,60,1
F1,T0153,footed,broad,tongue_tip,80,31.12,56,1.5
F1,T0154,unfooted,background,tongue_tip,108,55.14,72,3.4
F1,T0158,unfooted,narrow,tongue_tip,96,44.31,52,2.7
F1,T0163,footed,background,tongue_tip,76,42.31,20,2.4
F1,T0166,unfooted,contrastive,tongue_tip,132,38.36,92,2.8
F1,T0001,footed,background,lower_lip,86,74.96,42,3.2
F1,T0006,unfooted,narrow,lower_lip,72,42.59,28,0.8
F1,T0011,footed,narrow,lower_lip,81.4,78.53,33.4,2.9
F1,T0012,footed,contrastive,lower_lip,65,68.32,29,2.2
F1,T0017,unfooted,contrastive,lower_lip,72,47.72,44,1.4
F1,T0018,unfooted,background,lower_lip,68,37.64,48,0.2
F1,T0027,unfooted,contrastive,lower_lip,60,45.13,28,1.1
F1,T0030,footed,background,lower_lip,76,53.9,36,1.8
F1,T0031,footed,narrow,lower_lip,80.3,61.72,36.3,2.8
F1,T0038,footed,contrastive,lower_lip,88,82.85,52,4
F1,T0044,unfooted,broad,lower_lip,64,33.85,36,-0.7
F1,T0045,unfooted,narrow,lower_lip,68,33.95,48,-0.2
F1,T0046,unfooted,background,lower_lip,76.2,43.97,36.2,1.2
F1,T0049,unfooted,narrow,lower_lip,80,75.96,40,2.4
F1,T0051,footed,broad,lower_lip,88,51.71,40,2.5
F1,T0052,unfooted,broad,lower_lip,64,24.69,28,-0.2
F1,T0056,footed,contrastive,lower_lip,74,45.06,50,1.8
F1,T0061,footed,background,lower_lip,60,35.98,36,0.9
F1,T0064,footed,narrow,lower_lip,92,66.07,56,3.1
F1,T0071,unfooted,background,lower_lip,56,34.8,32,-0.1
F1,T0072,unfooted,contrastive,lower_lip,68,43.55,40,0
F1,T0073,unfooted,narrow,lower_lip,68,55.81,40,1
F1,T0076,unfooted,background,lower_lip,80,51.6,48,0.5
F1,T0077,unfooted,contrastive,lower_lip,76,47.17,52,1.1
F1,T0078,footed,broad,lower_lip,99.2,78.56,59.2,5.2
F1,T0083,footed,contrastive,lower_lip,64,40.42,36,1
F1,T0089,unfooted,broad,lower_lip,60,32.89,32,-0.2
F1,T0091,footed,background,lower_lip,60.6,46.18,32.6,1.7
F1,T0096,footed,narrow,lower_lip,76,77.32,44,3.2
F1,T0098,unfooted,contrastive,lower_lip,85.7,55.73,49.7,2.1
F1,T0100,unfooted,narrow,lower_lip,100,60.39,44,1.4
F1,T0103,footed,broad,lower_lip,92,65.21,56,4.1
F1,T0106,footed,contrastive,lower_lip,68,46.35,40,1.7
F1,T0109,unfooted,broad,lower_lip,65.1,34.98,37.1,-0.2
F1,T0112,unfooted,background,lower_lip,64,44.22,36,-0.1
F1,T0114,footed,background,lower_lip,64,22.03,28,0.8
F1,T0117,footed,narrow,lower_lip,80,58.32,36,2.6
F1,T0122,unfooted,narrow,lower_lip,72,48.97,44,0.6
F1,T0123,footed,narrow,lower_lip,64,63.6,36,1.7
F1,T0124,footed,background,lower_lip,84,50.31,36,2.1
F1,T0131,footed,contrastive,lower_lip,72,37.81,48,1.8
F1,T0134,unfooted,contrastive,lower_lip,64,42.24,36,0.6
F1,T0136,footed,broad,lower_lip,76,65.53,40,1.4
F1,T0143,unfooted,broad,lower_lip,128,66.28,100,-3.7
F1,T0145,footed,background,lower_lip,56,54.94,28,2.1
F1,T0146,footed,broad,lower_lip,64,35.07,32,0.9
F1,T0151,footed,narrow,lower_lip,72,30.53,24,0.8
F1,T0159,unfooted,background,lower_lip,72,45.28,48,-0.3
F1,T0160,unfooted,narrow,lower_lip,76,51.63,48,0.7
F1,T0162,footed,contrastive,lower_lip,96,78.49,36,3.2
F1,T0164,unfooted,broad,lower_lip,52,28.13,24,-0.3
F1,T0002,footed,background,tongue_body,128,110.93,44,8.7
F1,T0003,unfooted,narrow,tongue_body,144,120.14,52,10.5
F1,T0008,unfooted,contrastive,tongue_body,112,104.44,48,7.6
F1,T0009,footed,broad,tongue_body,88,103.46,40,5.5
F1,T0010,unfooted,broad,tongue_body,100,112.41,56,6.7
F1,T0016,footed,narrow,tongue_body,140,106.63,76,8.1
F1,T0021,unfooted,background,tongue_body,132,99.82,48,7.7
F1,T0024,footed,contrastive,tongue_body,128,122.4,56,8.7
F1,T0028,unfooted,contrastive,tongue_body,116,124.57,64,10
F1,T0032,footed,broad,tongue_body,96,142.69,44,7.8
F1,T0035,footed,background,tongue_body,76,72.92,52,3.9
F1,T0039,footed,contrastive,tongue_body,104,101.18,56,6.7
F1,T0041,unfooted,narrow,tongue_body,128,112.2,60,9
F1,T0043,unfooted,broad,tongue_body,112,65.28,48,5
F1,T0048,footed,narrow,tongue_body,108,125.15,44,8.8
F1,T0050,footed,broad,tongue_body,108,84.97,44,5.7
F1,T0058,unfooted,contrastive,tongue_body,100,62.14,64,4.5
F1,T0062,footed,narrow,tongue_body,72,77.44,52,3.7
F1,T0070,unfooted,narrow,tongue_body,72,79.86,52,3.8
F1,T0081,unfooted,narrow,tongue_body,136,95.8,52,8.1
F1,T0082,unfooted,background,tongue_body,136,77.72,52,6.9
F1,T0084,footed,background,tongue_body,96,73.01,72,4.6
F1,T0087,footed,contrastive,tongue_body,132,137.76,72,8.6
F1,T0090,footed,broad,tongue_body,96,103.22,40,6.2
F1,T0092,unfooted,contrastive,tongue_body,100,94.39,44,6.5
F1,T0093,unfooted,broad,tongue_body,104,76.9,48,4.5
F1,T0095,footed,narrow,tongue_body,116,87.57,52,7.3
F1,T0102,unfooted,narrow,tongue_body,132,50.68,76,4.7
F1,T0104,unfooted,broad,tongue_body,112,77.69,48,5.5
F1,T0107,footed,narrow,tongue_body,112,86.77,44,6.4
F1,T0110,unfooted,contrastive,tongue_body,132,96.52,60,8.8
F1,T0115,unfooted,background,tongue_body,148,69.77,64,6.7
F1,T0118,footed,background,tongue_body,160,102.13,108,8.9
F1,T0121,footed,broad,tongue_body,100,90.67,48,5.8
F1,T0125,footed,background,tongue_body,132,128.26,48,10
F1,T0126,footed,narrow,tongue_body,116,126.4,52,9.6
F1,T0127,unfooted,contrastive,tongue_body,156,106.79,68,10.9
F1,T0133,footed,contrastive,tongue_body,140,107.02,44,9.2
F1,T0135,unfooted,narrow,tongue_body,144,130.1,52,12
F1,T0138,unfooted,broad,tongue_body,92,86.95,56,5
F1,T0141,unfooted,background,tongue_body,60,52.83,40,2.2
F1,T0147,unfooted,background,tongue_body,136,95.88,60,8.4
F1,T0149,footed,background,tongue_body,76,75.07,48,3.9
F1,T0155,footed,contrastive,tongue_body,112,86.64,44,6
F1,T0156,footed,narrow,tongue_body,120,52.98,52,4.3
F1,T0157,unfooted,broad,tongue_body,120,61.51,76,4
F1,T0167,unfooted,contrastive,tongue_body,124,93.16,68,7.1
F1,T0168,footed,broad,tongue_body,100,155.01,52,9.5
