Subject_id,Trial_id,Footedness,Info_str,Place,GDUR,MDISP,PVEL,T2PVEL
M2,T0001,footed,broad,tongue_tip,52,1.9,55.93,24
M2,T0002,footed,contrastive,tongue_body,144,9,103.81,108
M2,T0003,unfooted,background,lower_lip,116,5.6,71.25,68.2
M2,T0004,unfooted,broad,lower_lip,68,2.9,60.34,52
M2,T0005,footed,narrow,tongue_tip,72,4,86.6,44
M2,T0006,footed,narrow,lower_lip,116,3.7,54.01,64
M2,T0007,unfooted,broad,tongue_body,108,5.3,78.77,80
M2,T0009,footed,narrow,tongue_body,120,5.6,77.86,100
M2,T0010,unfooted,contrastive,tongue_body,104,5.4,81.75,72
M2,T0011,unfooted,background,tongue_tip,80,4.8,84,56
M2,T0012,footed,background,lower_lip,84,2.4,45.01,44
M2,T0013,footed,broad,lower_lip,84,4.2,71.62,64
M2,T0014,unfooted,contrastive,lower_lip,100,7.6,122.09,72
M2,T0015,unfooted,narrow,tongue_body,92,4,67.79,80
M2,T0016,footed,broad,tongue_body,144,9.8,119.13,96
M2,T0017,unfooted,narrow,lower_lip,96,4,58.64,60
M2,T0018,unfooted,broad,tongue_tip,76,6.5,132.98,48
M2,T0019,footed,contrastive,tongue_tip,72,5.4,105.61,40
M2,T0020,unfooted,contrastive,tongue_tip,84,6.7,115.26,52
M2,T0021,unfooted,background,tongue_body,188,8,65.94,124
M2,T0022,unfooted,narrow,tongue_tip,80,5.6,103.1,48
M2,T0023,footed,contrastive,lower_lip,104,4.9,73.07,60
M2,T0024,unfooted,contrastive,tongue_body,140,7.8,78.08,56
M2,T0025,footed,background,tongue_body,140,9.6,113.62,108
M2,T0026,unfooted,background,tongue_tip,73.8,4.5,94.1,41.8
M2,T0027,unfooted,contrastive,tongue_body,107.8,5,63.42,68
M2,T0028,unfooted,broad,tongue_tip,80,4.3,77.09,56
M2,T0029,unfooted,narrow,lower_lip,112,6.9,102.27,44
M2,T0030,footed,contrastive,tongue_body,180,11.6,102.91,108
M2,T0031,footed,background,tongue_tip,80,4.1,73.94,44
M2,T0032,footed,background,tongue_tip,88,3.5,56.59,60
M2,T0033,footed,background,tongue_body,128,8.1,100.61,96
M2,T0034,unfooted,contrastive,tongue_tip,84,5.4,96.04,48
M2,T0035,footed,broad,lower_lip,100,5.2,81.5,52
M2,T0036,unfooted,contrastive,lower_lip,96,4.5,76.56,48
M2,T0037,footed,contrastive,lower_lip,76,2.5,65.31,60
M2,T0038,footed,narrow,tongue_tip,84,4.5,74.66,48
M2,T0039,unfooted,narrow,tongue_tip,60,5.4,132.67,36
M2,T0040,footed,narrow,lower_lip,120,5.6,68.17,64
M2,T0041,footed,broad,lower_lip,128,7.4,96.69,80
M2,T0042,unfooted,background,tongue_body,144,7.5,70.54,60
M2,T0043,footed,narrow,tongue_body,192,9.9,82.95,144
M2,T0044,footed,background,lower_lip,88.1,4.3,68.36,70.7
M2,T0045,unfooted,broad,tongue_body,108,5.8,73.4,68
M2,T0046,footed,broad,tongue_body,144,7.4,82.43,100
M2,T0047,unfooted,narrow,tongue_body,144,6,60.29,76
M2,T0048,unfooted,contrastive,tongue_tip,72,4.3,89.88,48
M2,T0049,unfooted,background,lower_lip,108,6.8,88.9,76
M2,T0050,footed,background,tongue_body,120,7.4,98.37,72
M2,T0051,footed,narrow,lower_lip,108,8.3,120.2,68
M2,T0052,footed,background,lower_lip,156,7,81.4,96
M2,T0053,footed,broad,tongue_body,128,5.1,64.84,104
M2,T0054,unfooted,contrastive,tongue_body,200,9.8,84.59,116
M2,T0055,footed,contrastive,lower_lip,128,9.9,133.89,68
M2,T0056,unfooted,background,tongue_body,116,4.4,70.57,84
M2,T0057,unfooted,narrow,lower_lip,92,6.4,96.96,52
M2,T0058,unfooted,contrastive,tongue_tip,104,5.2,80.9,85
M2,T0059,footed,narrow,tongue_tip,116,5.5,71.96,32
M2,T0060,unfooted,broad,tongue_body,176,9.4,84.51,104
M2,T0061,footed,narrow,tongue_body,148,10.3,126.08,108
M2,T0062,footed,broad,tongue_tip,84.4,5.9,102.72,43.2
M2,T0063,footed,broad,lower_lip,112.6,4.6,50.17,78.2
M2,T0064,footed,contrastive,tongue_tip,124,4,52.52,88
M2,T0065,unfooted,contrastive,lower_lip,108,5.4,70.47,52
M2,T0066,unfooted,narrow,tongue_tip,92,7.2,114.04,60
M2,T0067,footed,background,tongue_tip,84,6.2,113.45,60
M2,T0068,unfooted,narrow,tongue_body,136,7.6,92.82,76
M2,T0069,unfooted,broad,tongue_tip,61.5,3.3,82.86,29.5
M2,T0070,unfooted,background,tongue_tip,72,5.4,122.67,36
M2,T0071,unfooted,broad,lower_lip,92,7,117.56,44
M2,T0072,unfooted,background,lower_lip,92,5.6,89.36,40
M2,T0073,footed,contrastive,tongue_body,128,7.1,99.02,100
M2,T0074,unfooted,broad,tongue_body,84,3.5,63.9,52
M2,T0075,unfooted,background,tongue_tip,72,3.9,72.83,44
M2,T0076,footed,narrow,lower_lip,116,7,97.65,60
M2,T0077,footed,contrastive,lower_lip,124,9.2,110.31,72
M2,T0078,unfooted,narrow,tongue_body,72,1.7,40.76,48
M2,T0079,unfooted,background,tongue_body,128,6.8,79.31,60
M2,T0080,footed,narrow,tongue_body,217.7,13.8,132.25,136.3
